sku,dup,grainger_cat,search,gc,zoro,grainger,amzn,fast,msm
sku939,0,Metalworking,VALUE+BRAND+M39720.060.0016,Grainger Choice,http://zoro.com/search?q=VALUE+BRAND+M39720.060.0016,http://grainger.com/product/GRAINGER-APPROVED-Pin-41KJ58?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/41KJ20_AL01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=VALUE+BRAND+M39720.060.0016,https://www.fastenal.com/products?term=VALUE+BRAND+M39720.060.0016,http://www.mscdirect.com/browse/?searchterm=VALUE+BRAND+M39720.060.0016
sku940,0,Metalworking,VALUE+BRAND+U51130.025.0200,Grainger Choice,http://zoro.com/search?q=VALUE+BRAND+U51130.025.0200,http://grainger.com/product/GRAINGER-APPROVED-Socket-Head-Cap-Screw-26LF04?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/26LE61_AS02?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=VALUE+BRAND+U51130.025.0200,https://www.fastenal.com/products?term=VALUE+BRAND+U51130.025.0200,http://www.mscdirect.com/browse/?searchterm=VALUE+BRAND+U51130.025.0200
sku941,0,"Pumps, Plumbing & Test",VALUE+BRAND+4WPP7,Grainger Choice,http://zoro.com/search?q=VALUE+BRAND+4WPP7,http://grainger.com/product/GRAINGER-APPROVED-304-Stainless-Steel-Lap-Joint-4WPP7?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/4WPP3_AS01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=VALUE+BRAND+4WPP7,https://www.fastenal.com/products?term=VALUE+BRAND+4WPP7,http://www.mscdirect.com/browse/?searchterm=VALUE+BRAND+4WPP7
sku942,0,Metalworking,VALUE+BRAND+1055-3/8HGA,Grainger Choice,http://zoro.com/search?q=VALUE+BRAND+1055-3/8HGA,http://grainger.com/product/GRAINGER-APPROVED-Rubber-1DVU1?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/1MTU1_AS01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=VALUE+BRAND+1055-3/8HGA,https://www.fastenal.com/products?term=VALUE+BRAND+1055-3/8HGA,http://www.mscdirect.com/browse/?searchterm=VALUE+BRAND+1055-3/8HGA
sku943,0,Metalworking,VALUE+BRAND+M39070.120.0040,Grainger Choice,http://zoro.com/search?q=VALUE+BRAND+M39070.120.0040,http://grainger.com/product/GRAINGER-APPROVED-Pin-41KD18?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/41KD21_AL01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=VALUE+BRAND+M39070.120.0040,https://www.fastenal.com/products?term=VALUE+BRAND+M39070.120.0040,http://www.mscdirect.com/browse/?searchterm=VALUE+BRAND+M39070.120.0040
sku944,0,Metalworking,VALUE+BRAND+6855C21/4N7M,Grainger Choice,http://zoro.com/search?q=VALUE+BRAND+6855C21/4N7M,http://grainger.com/product/GRAINGER-APPROVED-Rubber-3TDX5?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/3TDW6_AS01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=VALUE+BRAND+6855C21/4N7M,https://www.fastenal.com/products?term=VALUE+BRAND+6855C21/4N7M,http://www.mscdirect.com/browse/?searchterm=VALUE+BRAND+6855C21/4N7M
sku945,0,Metalworking,VALUE+BRAND+902290-PK,Grainger Choice,http://zoro.com/search?q=VALUE+BRAND+902290-PK,http://grainger.com/product/GRAINGER-APPROVED-Tap-Bolt-6JCG1?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/2CA56_AS01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=VALUE+BRAND+902290-PK,https://www.fastenal.com/products?term=VALUE+BRAND+902290-PK,http://www.mscdirect.com/browse/?searchterm=VALUE+BRAND+902290-PK
sku946,0,Metalworking,VALUE+BRAND+M51110.080.0040,Grainger Choice,http://zoro.com/search?q=VALUE+BRAND+M51110.080.0040,http://grainger.com/product/GRAINGER-APPROVED-40mm-A2-Stainless-Steel-Machine-31JR48?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/31JP72_AS01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=VALUE+BRAND+M51110.080.0040,https://www.fastenal.com/products?term=VALUE+BRAND+M51110.080.0040,http://www.mscdirect.com/browse/?searchterm=VALUE+BRAND+M51110.080.0040
sku947,0,Metalworking,VALUE+BRAND+U36000.306.0001,Grainger Choice,http://zoro.com/search?q=VALUE+BRAND+U36000.306.0001,http://grainger.com/product/GRAINGER-APPROVED-Retaining-Ring-41MJ87?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/41MJ31_AL01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=VALUE+BRAND+U36000.306.0001,https://www.fastenal.com/products?term=VALUE+BRAND+U36000.306.0001,http://www.mscdirect.com/browse/?searchterm=VALUE+BRAND+U36000.306.0001
sku948,0,Metalworking,VALUE+BRAND+56551990,Grainger Choice,http://zoro.com/search?q=VALUE+BRAND+56551990,http://grainger.com/product/GRAINGER-APPROVED-Chucking-Reamer-24L428?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/24L991_AW01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=VALUE+BRAND+56551990,https://www.fastenal.com/products?term=VALUE+BRAND+56551990,http://www.mscdirect.com/browse/?searchterm=VALUE+BRAND+56551990
